ID	001_VA	004_RF	011_MA	015_MA	019_LG	020_KN	021_JC	022_SM	024_JM	029_UW	037_ST	040_KB	041_MNL	042_SPA	045_NM	046_RM	052_WC	053_MA	060_DW	061_NA	064_WAW	065_MWA	067_RM	069_EJK	071_KC	074_DC	075_SM	078_AT	079_MC	082_SW	083_AP	084_JP	088_PB	089_AA	091_FC	092_TP	093_SD	094_MG	095_SB	098_LD	100_BC	101_MB	103_ML	104_GL	106_FC	107_ZC	111_AG	113_KD	115_FR	122_KM	302_TK	303_EG	304_RK	305_FK	306_RS	307_GK	308_VM	309_PK	310_GM	311_MK	312_KN	313_VM	314_SP	315_SK	317_TG	319_DM	320_ST	321_RM	322_LT	324_AT	329_NW	332_MW	333_MW	334_BT	335_LK	336_PT	337_TP	338_EC	339_GK	340_CM	341_ST	343_VB	344_SB	345_MK	346_JS	347_RT	348_DO	349_GS	352_AB	354_AK	357_WT	359_AB	360_JG	364_JZ	367_RL	370_WH	371_SK	379_JP	382_JK	385_CP
Rothia_dentocariosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106	0.0	0.0	0.0	601	0.0	0.0	18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rothia_mucilaginosa	0.0	0.0	756	369	154	237	0.0	155	0.0	141	0.0	62	218	417	0.0	0.0	0.0	0.0	0.0	846	960	0.0	781	0.0	336	0.0	2256	0.0	0.0	3906	171	946	0.0	1903	740	0.0	204	294	0.0	94	0.0	0.0	140	448	0.0	199	31	0.0	0.0	0.0	3011	4962	373	0.0	0.0	8488	680	0.0	335	16	0.0	0.0	13118	0.0	13238	0.0	0.0	0.0	337	619	0.0	0.0	0.0	0.0	0.0	1222	198	886	62	0.0	0.0	368	0.0	0.0	1749	0.0	0.0	246	64	0.0	0.0	0.0	0.0	665	159	2003	0.0	154	450	0.0
Rothia_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149	0.0	0.0	0.0	0.0	430	0.0	1127	0.0	0.0	0.0	1565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	292	0.0	0.0	0.0	0.0	0.0	0.0	123	0.0	148	0.0	0.0	0.0	0.0	0.0	0.0	46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1283	0.0	0.0	0.0	86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	552	11	0.0	0.0	0.0	0.0
Alloscardovia_omnicolens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	596	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_adolescentis	1933	533794	2907	335	111761	34	245235	0.0	66302	80212	9678	0.0	3180	47442	97912	34878	20957	151282	252	38488	191060	11462	31244	0.0	14903	21800	4528	37461	30504	7519	0.0	10434	0.0	2678	0.0	759	33302	206856	31411	5472	472	0.0	4796	31126	0.0	0.0	2167	924	197507	79714	5786	0.0	28789	0.0	32054	162946	16679	69947	1491205	19456	15131	0.0	161177	0.0	31355	0.0	13894	0.0	209411	183034	0.0	0.0	0.0	0.0	82177	0.0	0.0	19521	0.0	946	171033	0.0	126554	13235	63124	18	0.0	6491	51148	0.0	22074	0.0	19649	0.0	5152	3872	1294	87956	5100	106784
Bifidobacterium_angulatum	0.0	0.0	0.0	1737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1529	0.0	0.0	7205	0.0	0.0	0.0	0.0	0.0	8355	0.0	0.0	0.0	0.0	5367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	389301	0.0	0.0	239	0.0	0.0	0.0	0.0	0.0	0.0	168	0.0	7578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	536	0.0	0.0	19369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2851	0.0	0.0	2254	0.0	13972	0.0	0.0	0.0	0.0	0.0	0.0	11657
Bifidobacterium_bifidum	0.0	47375	0.0	0.0	3249	20419	15267	0.0	0.0	0.0	0.0	14098	3560	0.0	7131	8242	4758	3720	1511	0.0	5963	0.0	4386	17762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16964	0.0	150	61983	0.0	0.0	0.0	0.0	2486	0.0	0.0	0.0	0.0	0.0	31207	0.0	0.0	22311	51127	0.0	0.0	16247	0.0	0.0	34363	0.0	899	124908	12678	1223	0.0	0.0	0.0	38079	0.0	24580	0.0	0.0	0.0	45953	0.0	0.0	0.0	0.0	18272	0.0	0.0	0.0	0.0	25449	7556	25117	3907	12736	0.0	0.0	0.0	12756	0.0	2595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58533
Bifidobacterium_breve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_catenulatum	0.0	0.0	0.0	2250	6327	0.0	328	0.0	0.0	480	32	4777	0.0	1904	0.0	0.0	8904	0.0	535	0.0	608	0.0	5400	0.0	65	0.0	5103	2487	0.0	3973	0.0	1194	1286	0.0	0.0	61	85979	40669	18793	3148	0.0	0.0	0.0	31	0.0	0.0	0.0	0.0	271	6199	0.0	0.0	8309	1979	22980	96253	616	5163	137723	14978	4737	0.0	40011	61	1111	1681	0.0	0.0	17543	7313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6140	0.0	1253	9978	32	1907	1001	5556	0.0	0.0	161	0.0	0.0	0.0	202700	4896	0.0	1228	0.0	0.0	125	2233	4865
Bifidobacterium_dentium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17533	0.0	0.0	511	0.0	0.0	308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7450	0.0	0.0	285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	431	0.0	1137	2628	354	80	0.0	0.0	0.0	0.0	4901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19240	0.0	0.0
